"number", "method" , AMD , AMD , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel
,  , Ahtlon , X6 , Ryzen , Ryzen , Core2 , i3 , i5 , i5 , i7 , i7
"number", "method" , 200GE , 1090T , 3600 , 1700X , Q9300 , 6100 , 3570K , 7400 , 4790 , 860
1, "mp_reference", 0.027, 0.04, 0.019, 0.025, 0.045, 0.01, 0.021, 0.019, 0.017, 0.054
2, "mp_inv_jk_O2", 0.018, 0.018, 0.013, 0.018, 0.021, 0.01, 0.015, 0.016, 0.01, 0.1
3, "mp_inv_jk", 0, 0.006, 0, 0, 0.007, 0, 0, 0, 0, 0.007
4, "mp_inv_jk_sse", 0.012, 0.036, 0.009, 0.014, 0.044, 0, 0.009, 0, 0.001, 0.041
5, "mp_inv_jk_avx", 0,"N/A", 0, 0,"N/A", 0, 0, 0, 0,"N/A"
6, "mp_tile_4x4", 0, 0.006, 0, 0, 0.001, 0, 0.002, 0, 0.001, 0.005
7, "mp_tile_nxn_v1", 0.024, 0.024, 0.024, 0.02, 0.061, 0.019, 0.02, 0.019, 0.015, 0.074
8, "mp_tile_nxn_v2", 0.018, 0.02, 0.018, 0.018, 0.048, 0.01, 0.017, 0.01, 0.01, 0.079
9, "mp_tile_nxn_v3", 0.001, 0.009, 0, 0, 0.01, 0, 0.003, 0, 0, 0.019
