"number", "method" , Intel , Intel , Intel
,  , i3 , i7 , i7
"number", "method" , 2375M , 3630QM , 4900MQ
1, "u8_popcnt_reference", 0.398, 0.169, 0.14
2, "u8_popcnt_wegner", 0.296, 0.134, 0.11
3, "u32_popcnt_wegner", 0.15, 0.072, 0.05
4, "u8_popcnt_shift_v1", 0.017, 0.009, 0
5, "u32_popcnt_shift_v1", 0.008, 0.014, 0
6, "u8_popcnt_shift_v2", 0.015, 0.01, 0
7, "u32_popcnt_shift_v2", 0.004, 0.01, 0
8, "u32_popcnt_table_v1", 0.03, 0.012, 0.01
9, "u32_popcnt_table_v2", 0.014, 0.007, 0
10, "u8_asm_popcnt", 0.023, 0.011, 0.002
11, "u32_asm_popcnt", 0.007, 0.001, 0
12, "u32_asm_popcnt_ur2", 0.006, 0, 0
13, "u32_asm_popcnt_ur4", 0.007, 0, 0
14, "u32_sse_popcnt_v1", 0.004, 0, 0
15, "u32_sse_popcnt_v2", 0.008, 0, 0
16, "u32_avx2_popcnt_v1","N/A","N/A", 0
17, "u8_popcnt_intrinsics", 0.004, 0, 0
